id,time_observed_at,user_id
23112639,2019-04-26 11:31:03 UTC,1670095
23112657,2019-04-26 10:31:15 UTC,1367814
23112658,2019-04-26 09:31:06 UTC,1663808
23112665,2019-04-26 09:31:48 UTC,1663808
23112673,2019-04-26 09:29:23 UTC,1669992
23112679,2019-04-26 09:32:04 UTC,1663746
23112682,2019-04-26 11:32:11 UTC,1670095
23112689,2019-04-26 09:32:22 UTC,1663808
23112700,2019-04-26 09:29:48 UTC,1669992
23112701,2019-04-26 09:32:22 UTC,1670024
23112718,2019-04-26 09:30:16 UTC,1669992
23112729,2019-04-26 11:32:51 UTC,1670095
23112730,2019-04-26 09:33:12 UTC,1670024
23112733,2019-04-26 10:32:25 UTC,1367814
23112745,2019-04-26 09:33:43 UTC,1663808
23112746,2019-04-26 09:31:22 UTC,1669992
23112769,2019-04-26 11:34:00 UTC,1670095
23112773,2019-04-26 10:33:55 UTC,1367814
23112785,2019-04-26 09:34:12 UTC,1663808
23112810,2019-04-26 11:34:52 UTC,1670095
23112813,2019-04-26 09:34:52 UTC,1663808
23112822,2019-04-26 10:34:55 UTC,1367814
23112828,2019-04-26 09:31:54 UTC,1669992
23112842,2019-04-26 09:35:22 UTC,1670024
23112851,2019-04-26 10:35:18 UTC,1367814
23112869,2019-04-26 09:36:01 UTC,1663808
23112871,2019-04-26 09:32:21 UTC,1669992
23112875,2019-04-26 10:35:57 UTC,1367814
23112881,2019-04-26 11:36:34 UTC,1670095
23112901,2019-04-26 09:36:38 UTC,1670024
23112905,2019-04-26 09:34:35 UTC,626394
23112909,2019-04-26 09:36:46 UTC,1663808
23112911,2019-04-26 11:37:05 UTC,1670095
23112916,2019-04-26 10:36:24 UTC,1367814
23112922,2019-04-26 09:37:14 UTC,1663808
23112944,2019-04-26 09:37:45 UTC,1663808
23112958,2019-04-26 09:38:14 UTC,1670024
23112971,2019-04-26 09:37:17 UTC,1663746
23112976,2019-04-26 09:38:48 UTC,842327
23112980,2019-04-26 11:37:47 UTC,1670095
23112981,2019-04-26 09:33:01 UTC,1669992
23112992,2019-04-26 09:38:30 UTC,1663808
23112999,2019-04-26 11:38:36 UTC,1670095
23113013,2019-04-26 09:39:17 UTC,842327
23113018,2019-04-26 10:36:47 UTC,1367814
23113026,2019-04-26 10:37:24 UTC,1367814
23113027,2019-04-26 09:39:33 UTC,1663746
23113030,2019-04-26 09:39:32 UTC,1670024
23113035,2019-04-26 09:39:23 UTC,1663808
23113036,2019-04-26 11:39:09 UTC,1670095
23113040,2019-04-26 09:39:49 UTC,1663746
23113042,2019-04-26 11:39:44 UTC,1670095
23113052,2019-04-26 10:39:11 UTC,1367814
23113056,2019-04-26 09:40:02 UTC,1670024
